,Order_ID,Customer_Segment,Category,Sales,Profit,Region
349,350,Home Office,Office Supplies,2438,41,West
350,351,Home Office,Furniture,3340,954,North
351,352,Consumer,Furniture,2803,730,South
352,353,Home Office,Furniture,3216,900,East
353,354,Consumer,Furniture,4671,540,West
354,355,Consumer,Office Supplies,352,115,South
355,356,Home Office,Technology,1519,491,East
356,357,Consumer,Technology,2436,215,East
357,358,Home Office,Office Supplies,1335,256,South
358,359,Corporate,Office Supplies,1099,844,North
359,360,Consumer,Technology,3860,688,East
360,361,Corporate,Technology,4216,98,West
361,362,Home Office,Office Supplies,4511,325,East
362,363,Corporate,Office Supplies,2711,20,North
363,364,Corporate,Furniture,1546,58,West
364,365,Home Office,Furniture,2270,920,West
365,366,Corporate,Technology,3021,905,West
366,367,Corporate,Office Supplies,3783,988,South
367,368,Home Office,Technology,2361,582,East
368,369,Corporate,Furniture,2045,180,North
369,370,Home Office,Furniture,1953,152,South
370,371,Corporate,Technology,699,216,South
371,372,Home Office,Furniture,4987,472,West
372,373,Home Office,Office Supplies,4235,518,South
373,374,Corporate,Technology,3503,210,East
374,375,Corporate,Office Supplies,3090,14,South
375,376,Corporate,Office Supplies,4843,220,South
376,377,Consumer,Furniture,4377,993,West
377,378,Consumer,Office Supplies,4460,38,West
378,379,Consumer,Technology,2918,199,South
379,380,Home Office,Office Supplies,962,197,West
380,381,Corporate,Office Supplies,4627,846,North
381,382,Home Office,Office Supplies,4155,776,North
382,383,Consumer,Office Supplies,1319,159,North
383,384,Corporate,Office Supplies,3895,534,South
384,385,Home Office,Furniture,4704,955,East
385,386,Corporate,Technology,4642,893,East
386,387,Home Office,Furniture,627,952,West
387,388,Corporate,Technology,3022,375,East
388,389,Consumer,Technology,3304,166,East
389,390,Consumer,Technology,1262,89,South
390,391,Corporate,Technology,4864,877,West
391,392,Home Office,Technology,3664,282,East
392,393,Consumer,Office Supplies,946,669,North
393,394,Consumer,Furniture,2217,727,West
394,395,Consumer,Furniture,3186,635,West
395,396,Corporate,Office Supplies,1870,527,West
396,397,Corporate,Technology,3383,799,North
397,398,Home Office,Furniture,1925,241,East
398,399,Home Office,Office Supplies,3423,658,North
399,400,Home Office,Office Supplies,545,169,West
400,401,Corporate,Furniture,1125,353,West
401,402,Corporate,Furniture,1871,298,South
402,403,Home Office,Technology,1459,214,South
403,404,Home Office,Technology,118,847,South
404,405,Corporate,Furniture,660,314,South
405,406,Home Office,Technology,571,369,West
406,407,Consumer,Office Supplies,127,679,North
407,408,Corporate,Technology,659,879,South
408,409,Home Office,Technology,2755,409,North
409,410,Corporate,Office Supplies,3336,458,South
410,411,Consumer,Technology,4653,115,East
411,412,Corporate,Office Supplies,1044,91,South
412,413,Corporate,Technology,4048,351,North
413,414,Corporate,Furniture,3756,995,South
414,415,Corporate,Technology,3163,791,East
415,416,Consumer,Furniture,2079,961,North
416,417,Corporate,Furniture,2816,430,North
417,418,Corporate,Furniture,915,58,North
418,419,Home Office,Furniture,2426,215,West
419,420,Corporate,Furniture,2430,227,North
420,421,Home Office,Office Supplies,1102,827,West
421,422,Consumer,Office Supplies,1642,685,East
422,423,Consumer,Office Supplies,4304,445,North
423,424,Consumer,Furniture,1329,800,North
424,425,Consumer,Technology,3405,331,North
425,426,Home Office,Office Supplies,2629,240,East
426,427,Corporate,Technology,1530,720,West
427,428,Consumer,Technology,4012,496,South
428,429,Corporate,Furniture,1632,438,East
429,430,Home Office,Furniture,1992,892,East
430,431,Home Office,Furniture,3224,735,East
431,432,Home Office,Office Supplies,1521,293,West
432,433,Consumer,Furniture,490,495,West
433,434,Corporate,Office Supplies,2918,285,West
434,435,Corporate,Office Supplies,1969,442,West
435,436,Corporate,Office Supplies,3060,194,West
436,437,Home Office,Office Supplies,1295,731,North
437,438,Consumer,Furniture,2705,642,South
438,439,Home Office,Office Supplies,957,225,South
439,440,Home Office,Furniture,3327,106,West
440,441,Corporate,Furniture,1616,964,West
441,442,Home Office,Office Supplies,1253,128,North
442,443,Corporate,Furniture,942,374,West
443,444,Consumer,Technology,1782,803,North
444,445,Corporate,Furniture,394,412,North
445,446,Consumer,Furniture,744,627,East
446,447,Corporate,Office Supplies,3733,406,East
447,448,Home Office,Office Supplies,2235,467,West
448,449,Home Office,Furniture,210,327,North
449,450,Consumer,Office Supplies,683,391,West
450,451,Consumer,Technology,3325,151,East
451,452,Consumer,Technology,1586,466,East
452,453,Corporate,Office Supplies,4964,510,East
453,454,Corporate,Furniture,1748,916,East
454,455,Consumer,Technology,2481,332,East
455,456,Home Office,Technology,205,277,West
456,457,Corporate,Furniture,3653,812,West
457,458,Corporate,Office Supplies,1794,496,East
458,459,Corporate,Technology,1833,887,West
459,460,Consumer,Furniture,481,688,East
460,461,Consumer,Furniture,2836,169,East
461,462,Consumer,Technology,4456,752,East
462,463,Consumer,Office Supplies,1416,23,West
463,464,Consumer,Technology,2802,714,West
464,465,Home Office,Furniture,4174,164,North
465,466,Home Office,Technology,4904,110,West
466,467,Consumer,Office Supplies,1006,581,West
467,468,Corporate,Furniture,762,52,South
468,469,Consumer,Office Supplies,562,202,East
469,470,Home Office,Technology,3002,320,East
470,471,Home Office,Technology,4780,630,West
471,472,Corporate,Office Supplies,1042,614,West
472,473,Home Office,Technology,257,737,North
473,474,Consumer,Office Supplies,3409,474,South
474,475,Corporate,Technology,1426,172,East
475,476,Consumer,Office Supplies,2817,360,East
476,477,Consumer,Office Supplies,2768,243,West
477,478,Corporate,Furniture,2668,937,West
478,479,Consumer,Furniture,3492,412,South
479,480,Home Office,Office Supplies,2206,360,East
480,481,Consumer,Technology,4899,176,South
481,482,Corporate,Technology,747,157,East
482,483,Corporate,Technology,3422,37,West
483,484,Corporate,Office Supplies,3038,268,South
484,485,Consumer,Office Supplies,2583,937,North
485,486,Corporate,Office Supplies,4341,607,West
486,487,Corporate,Office Supplies,3006,629,North
487,488,Consumer,Furniture,3125,451,North
488,489,Home Office,Office Supplies,1475,959,North
489,490,Consumer,Technology,1923,947,East
490,491,Corporate,Furniture,344,638,North
491,492,Corporate,Technology,2448,885,East
492,493,Consumer,Office Supplies,967,536,South
493,494,Home Office,Furniture,2961,220,West
494,495,Corporate,Office Supplies,579,839,East
495,496,Corporate,Furniture,2562,552,East
496,497,Corporate,Technology,2035,454,South
497,498,Consumer,Office Supplies,3473,803,South
498,499,Corporate,Office Supplies,3121,462,West
499,500,Home Office,Furniture,3292,706,South
500,501,Corporate,Furniture,187,413,East
501,502,Corporate,Office Supplies,1340,75,West
502,503,Home Office,Furniture,672,414,West
503,504,Corporate,Office Supplies,913,892,West
504,505,Consumer,Furniture,278,837,North
505,506,Consumer,Technology,1825,584,North
506,507,Consumer,Furniture,262,444,East
507,508,Home Office,Technology,2740,237,North
508,509,Corporate,Furniture,1105,485,South
509,510,Consumer,Furniture,2448,477,West
510,511,Home Office,Office Supplies,2521,110,East
511,512,Corporate,Furniture,2855,432,South
512,513,Home Office,Furniture,4398,365,West
513,514,Consumer,Technology,4242,148,South
514,515,Consumer,Furniture,4658,640,North
515,516,Consumer,Office Supplies,3841,578,South
516,517,Home Office,Technology,4603,140,North
517,518,Home Office,Office Supplies,1317,558,South
518,519,Consumer,Office Supplies,2574,477,East
519,520,Home Office,Office Supplies,1029,489,North
520,521,Consumer,Office Supplies,416,120,North
521,522,Consumer,Technology,1602,162,West
522,523,Corporate,Furniture,520,926,North
523,524,Home Office,Office Supplies,4458,771,West
524,525,Consumer,Technology,1549,251,North
525,526,Consumer,Office Supplies,527,729,North
526,527,Home Office,Furniture,496,889,North
527,528,Corporate,Technology,895,691,North
528,529,Corporate,Technology,206,778,West
529,530,Consumer,Furniture,4149,288,East
530,531,Home Office,Technology,197,372,South
531,532,Corporate,Furniture,2003,634,North
532,533,Home Office,Technology,3670,417,North
533,534,Home Office,Technology,3401,184,East
534,535,Consumer,Furniture,142,610,West
535,536,Corporate,Furniture,1677,144,South
536,537,Consumer,Technology,4290,515,East
537,538,Corporate,Technology,4383,303,East
538,539,Corporate,Furniture,484,504,East
539,540,Corporate,Furniture,3571,824,East
540,541,Corporate,Technology,3677,880,North
541,542,Corporate,Technology,3338,428,South
542,543,Home Office,Technology,1796,215,North
543,544,Consumer,Furniture,2234,327,East
544,545,Home Office,Technology,3992,82,South
545,546,Corporate,Office Supplies,2636,268,East
546,547,Consumer,Furniture,4421,367,West
547,548,Corporate,Technology,2492,157,East
548,549,Consumer,Furniture,4713,234,East
549,550,Home Office,Office Supplies,3915,114,West
550,551,Consumer,Furniture,395,565,North
551,552,Consumer,Technology,513,937,South
552,553,Consumer,Office Supplies,2095,365,East
553,554,Consumer,Office Supplies,103,547,East
554,555,Consumer,Technology,277,825,West
555,556,Corporate,Technology,845,270,South
556,557,Consumer,Technology,4454,580,West
557,558,Consumer,Furniture,751,582,East
558,559,Home Office,Furniture,3989,826,North
559,560,Consumer,Furniture,3371,935,North
560,561,Home Office,Technology,2582,922,South
561,562,Corporate,Technology,389,79,East
562,563,Consumer,Furniture,902,963,West
563,564,Home Office,Office Supplies,2630,456,East
564,565,Home Office,Furniture,333,966,West
565,566,Corporate,Office Supplies,507,456,West
566,567,Consumer,Technology,793,792,South
567,568,Consumer,Technology,1269,266,West
568,569,Home Office,Furniture,4757,918,South
569,570,Consumer,Furniture,2577,953,North
570,571,Home Office,Technology,531,905,South
571,572,Consumer,Furniture,2644,939,South
572,573,Home Office,Technology,1082,646,South
573,574,Consumer,Technology,3260,935,North
574,575,Corporate,Office Supplies,3144,540,South
575,576,Consumer,Furniture,4024,128,West
576,577,Consumer,Technology,3412,841,West
577,578,Corporate,Furniture,4973,75,South
578,579,Consumer,Office Supplies,4418,254,West
579,580,Corporate,Office Supplies,1788,66,South
580,581,Consumer,Furniture,567,53,North
581,582,Home Office,Furniture,2716,533,West
582,583,Home Office,Technology,1445,899,South
583,584,Consumer,Office Supplies,2522,433,East
584,585,Consumer,Office Supplies,4607,757,North
585,586,Consumer,Office Supplies,4821,545,East
586,587,Home Office,Furniture,1111,404,South
587,588,Consumer,Technology,1777,459,West
588,589,Home Office,Furniture,3797,266,South
589,590,Corporate,Furniture,4997,963,West
590,591,Home Office,Furniture,4166,805,South
591,592,Home Office,Technology,1992,845,South
592,593,Corporate,Furniture,2969,370,West
593,594,Home Office,Office Supplies,4450,772,West
594,595,Consumer,Office Supplies,1586,615,South
595,596,Consumer,Office Supplies,3439,389,East
596,597,Home Office,Technology,1516,452,North
597,598,Consumer,Furniture,4957,976,East
598,599,Home Office,Technology,2946,901,East
599,600,Consumer,Furniture,1457,543,East
600,601,Consumer,Office Supplies,4160,483,East
601,602,Home Office,Furniture,4760,166,West
602,603,Consumer,Furniture,1491,98,East
603,604,Home Office,Furniture,1678,211,North
604,605,Consumer,Technology,3849,989,West
605,606,Consumer,Furniture,3725,471,East
606,607,Corporate,Furniture,2603,490,West
607,608,Corporate,Furniture,3237,718,East
608,609,Home Office,Technology,3009,566,East
609,610,Corporate,Technology,2764,463,North
610,611,Home Office,Technology,499,479,West
611,612,Corporate,Furniture,4482,389,West
612,613,Consumer,Office Supplies,4057,410,South
613,614,Home Office,Office Supplies,2333,88,East
614,615,Home Office,Office Supplies,1639,560,East
615,616,Consumer,Furniture,336,945,North
616,617,Home Office,Office Supplies,1027,805,North
617,618,Home Office,Office Supplies,4609,395,West
618,619,Corporate,Office Supplies,519,987,North
619,620,Home Office,Furniture,4224,676,West
620,621,Consumer,Office Supplies,2495,670,East
621,622,Corporate,Office Supplies,760,352,East
622,623,Corporate,Furniture,2723,912,West
623,624,Consumer,Technology,4050,454,North
624,625,Consumer,Office Supplies,549,61,North
625,626,Corporate,Technology,479,260,West
626,627,Home Office,Office Supplies,1350,953,East
627,628,Corporate,Furniture,2559,903,West
628,629,Consumer,Technology,3098,668,North
629,630,Corporate,Technology,4551,338,West
630,631,Consumer,Technology,2401,917,East
631,632,Corporate,Technology,826,503,South
632,633,Home Office,Office Supplies,1567,359,West
633,634,Corporate,Office Supplies,2828,976,South
634,635,Corporate,Technology,3252,779,West
635,636,Consumer,Office Supplies,3620,794,North
636,637,Consumer,Technology,3454,468,North
637,638,Consumer,Technology,515,507,South
638,639,Corporate,Furniture,699,134,West
639,640,Home Office,Technology,3174,213,North
640,641,Consumer,Office Supplies,4274,777,South
641,642,Consumer,Technology,1667,652,South
642,643,Corporate,Furniture,1194,30,West
643,644,Consumer,Office Supplies,3043,599,North
644,645,Home Office,Furniture,4253,856,South
645,646,Home Office,Furniture,1547,572,East
646,647,Consumer,Technology,1592,371,East
647,648,Consumer,Furniture,2771,370,North
648,649,Corporate,Furniture,1558,787,North
649,650,Home Office,Office Supplies,1308,125,East
650,651,Home Office,Furniture,2312,64,South
651,652,Consumer,Technology,1454,301,West
652,653,Corporate,Technology,312,60,South
653,654,Home Office,Technology,3994,851,North
654,655,Home Office,Furniture,4702,794,North
655,656,Corporate,Office Supplies,3063,263,West
656,657,Corporate,Technology,2948,501,South
